4EX;4 (EARTH X)
M:NH;MAGNETO: NOT A HERO
M-T;MAN-THING
M-T2;MAN-THING VOL. 2
M-T3;MAN-THING VOL. 3
MA;MIGHTY AVENGERS
MA2;MIGHTY AVENGERS VOL. 2
MADROX;MADROX
MANTRA;MANTRA
MANTRA2;MANTRA VOL. 2
MANTRA ∞;MANTRA ∞
MANTRA:SOD;MANTRA: SPEAR OF DESTINY
MARGIEC;MARGIE COMICS
MARVELS;MARVELS
MARVELS:EYE;MARVELS: EYE OF THE CAMERA
MARVILLE;MARVILLE
MAV;MAVERICK
MAV2;MAVERICK VOL. 2
MAXSEC;MAXIMUM SECURITY
MAXSEC:DP;MAXIMUM SECURITY: DEADLY PLANET
MB;MARVEL BOY
MB2;MARVEL BOY VOL. 2
MEKANIX;MEKANIX
MENACE;MENACE
MENADV;MEN'S ADVENTURES
MEPHV.;MEPHISTO VS. ...
MERC;MARK HAZZARD: MERC
MG:I;MORTIGAN GOTH: IMMORTALIS
MGK;MAGIK
MGK2;MAGIK VOL. 2
MHDS;MYSTIC HANDS OF DOCTOR STRANGE
MICRO;MICRONAUTS
MICRO2;MICRONAUTS: NEW VOYAGES
MICROCHIP;PUNISHER: ORIGIN OF MICROCHIP
MILLIEM;MILLIE THE MODEL
MIMO:ULTSM;MILES MORALES: ULTIMATE SPIDER-MAN
MISSAC;MISS AMERICA COMICS
MISSAC70A;MISS AMERICA COMICS 70TH ANNIVERSARY SPECIAL
MISSAMAG;MISS AMERICA MAGAZINE
MISSF;MISS FURY
MK;MOON KNIGHT
MK2;MOON KNIGHT VOL. 2 (FIST OF KHONSHU)
MK3;MOON KNIGHT VOL. 3
MK4;MOON KNIGHT VOL. 4 (HIGH STRANGERS)
MK5;MOON KNIGHT VOL. 5
MK6;MOON KNIGHT VOL. 6
MK7;MOON KNIGHT VOL. 7
MK:DWF;MOON KNIGHT: DIVIDED WE FALL
MK:SK;MOON KNIGHT: SILENT KNIGHT
MM;MACHINE MAN
MM2;MACHINE MAN VOL. 2
MM/:SECINV;MINI-MARVELS: SECRET INVASION TPB
MM/BSTN;MACHINE MAN/BASTION
MMACAD;MUTANT MISADVENTURES OF CLOAK AND DAGGER
MMEN;MYSTERY MEN
MMOUTH;MOTORMOUTH
MMOUTH&KP;MOTORMOUTH & KILLPOWER
MODELS;MODELS INC.
MOKF;MASTER OF KUNG FU
MOKF:BB;MASTER OF KUNG FU: BLEEDING BLACK
MONF;MONSTER OF FRANKENSTEIN
MONTHLY BESSATSU SHONEN MAG;MONTHLY MESSATSU SHONEN MAGAZINE
MORB:LV;MORBIUS: LIVING VAMPIRE
MORB:LV2;MORBIUS: LIVING VAMPIRE VOL. 2
MORLOCKS;MORLOCKS
MOTION PICTURES FUNNIES WEEKLY;MOTION PICTURES FUNNIES WEEKLY
MOTP;MONSTERS ON THE PROWL
MR;MAGNETO REX
MSG;MATT SLADE, GUNFIGHTER
MSM;MS. MARVEL
MSM2;MS. MARVEL VOL. 2
MSM3;MS. MARVEL VOL. 3
MSM SPEC;MS. MARVEL SPECIAL
MSM:S;MS. MARVEL: STORYTELLER
MSMK;MARC SPECTOR: MOON KNIGHT
MSMKSE;MARC SPECTOR: MOON KNIGHT SPECIAL EDITION
MSTQ;MYSTIQUE
MSU;MIDNIGHT SUNS UNLIMITED
MT;MIGHTY THOR
MTEEN;MACHINE TEEN
MTW;MYS-TECH WARS
MU;MONSTERS UNLEASHED! (MAGAZINE)
MUTIES;MUTIES
MUTOPIA;MUTOPIA X
MWM/2;MIGHTY WORLD OF MARVEL VOL. 2
MX;MUTANT X
MYSARC:BK;MYSTIC ARCANA: BLACK KNIGHT
MYSARC:M;MYSTIC ARCANA: MAGIK
MYSARC:SCRW;MYSTIC ARCANA: SCARLET WITCH
MYSARC:SGRIMM;MYSTIC ARCANA: SISTER GRIMM
MYSC;MYSTIC COMICS
MYSC70A;MYSTIC COMICS 70TH ANNIVERSARY SPECIAL
N;NAMOR
N:FM;NAMOR: THE FIRST MUTANT
NA;NEW AVENGERS
NA2;NEW AVENGERS VOL. 2
NA3;NEW AVENGERS VOL. 3
NA:FINALE;NEW AVENGERS: FINALE
NA:ILLUM;NEW AVENGERS: ILLUMINATI
NA:ILLUM2;NEW AVENGERS: ILLUMINATI VOL. 2
NA:LC;NEW AVENGERS: LUKE CAGE
NA:MWF;NEW AVENGERS: MOST WANTED FILES
NA:R;NEW AVENGERS: REUNION
NAM;NAM
NAMORA;NAMORA
NAMORA2;NAMORA VOL. 2
NATX;NATION X
NATX:XF;NATION X: X-FACTOR
NBE;NOT BRAND ECHH
NC;NIGHTCRAWLER
NC2;NIGHTCRAWLER VOL. 2
NC3;NIGHTCRAWLER VOL. 3
NC4;NIGHTCRAWLER VOL. 4
NCAT;NIGHTCAT
NDEF;NEW DEFENDERS
NEX;NEW EXILES
NFAOS;NICK FURY, AGENT OF S.H.I.E.L.D.
NFAOS3;NICK FURY, AGENT OF S.H.I.E.L.D. VOL. 3
NFHC;NICK FURY'S HOWLING COMMANDOS
NFV.SHIELD;NICK FURY VS. S.H.I.E.L.D.
NHAWK;NIGHTHAWK
NIGHTW;NIGHTWATCH
NINV;NEW INVADERS
NM;NEW MUTANTS
NM2;NEW MUTANTS VOL. 2
NM3;NEW MUTANTS VOL. 3
NM:TD;NEW MUTANTS: TRUTH OR DEATH
NMAN;NIGHT MAN
NMAN2;NIGHT MAN VOL. 2
NMAN ∞;NIGHT MAN ∞
NMAN/GAM;NIGHT MAN/GAMBIT
NMANGA;NEW MANGAVERSE
NMANV.W;NIGHT MAN VS. WOLVERINE
NMARE;NIGHTMARE
NMASK;NIGHTMASK
NMSE;NEW MUTANTS SPECIAL EDITION
NMSUM;NEW MUTANTS SUMMER SPECIAL
NN;NIGHT NURSE
NO;NOVA
NO2;NOVA VOL. 2
NO3;NOVA VOL. 3 (HUMAN ROCKET)
NO4;NOVA VOL. 4
NO5;NOVA VOL. 5
NOM;NOMAD
NOM2;NOMAD VOL. 2
NOM:GIRL;NOMAD: GIRL WITHOUT A WORLD
NORTH;NORTHSTAR
NRAVEN:HOC;NIGHT RAVEN: HOUSE OF CARDS
NS;NIGHTSTALKERS
NSUB;NAMOR, THE SUB-MARINER
NT;NIGHT THRASHER
NT2;NIGHT THRASHER VOL. 2
NTB;NEW THUNDERBOLTS
NW;NEW WARRIORS
NW2;NEW WARRIORS VOL. 2
NW3;NEW WARRIORS VOL. 3
NW4;NEW WARRIORS VOL. 4
NW5;NEW WARRIORS VOL. 5
NX;NEW X-MEN
NX2;NEW X-MEN VOL. 2
NX:ACADXYB;NEW X-MEN: ACADEMY X YEARBOOK
NX:HELL;NEW X-MEN: HELLIONS
NXCAL;NEW EXCALIBUR
NXTW:AOH;NEXT WAVE: AGENTS OF HATE
NYX;NYX
NYX:NWH;NYX: NO WAY HOME
OEDGE;OVER THE EDGE
OF;OMEGA FLIGHT
OGR;ORIGINAL GHOST RIDER
OK;OUTLAW KID
OK2;OUTLAW KID VOL. 2
OMTL;ONE MONTH TO LIVE
ONS:E;ONSLAUGHT: EPILOG
ONS:M/U;ONSLAUGHT: MARVEL UNIVERSE
ONS:R;ONSLAUGHT: REBORN
ONS:X;ONSLAUGHT: X-MEN
ORDER;ORDER
ORDER2;ORDER VOL. 2
ORGN;ORIGIN
ORGNII;ORIGIN II
ORORO;ORORO: BEFORE THE STORM
OSBORN;OSBORN
OU;OMEGA THE UNKNOWN
P;PUNISHER
P2;PUNISHER VOL. 2
P3;PUNISHER VOL. 3
P4;PUNISHER VOL. 4
P5;PUNISHER VOL. 5
P6;PUNISHER VOL. 6
P7;PUNISHER VOL. 7 (MAX imprint)
P8;PUNISHER VOL. 8
P9;PUNISHER VOL. 9
P10;PUNISHER VOL. 10
P/BW:SDW;PUNISHER/BLACK WIDOW: SPINNING DOOMSDAY'S WEB
P/CA:B&G;PUNISHER/CAPTAIN AMERICA: BLOOD & GLORY
P:B;PUNISHER BLOODLINES
P:BARRACUDA;PUNISHER PRESENTS: BARRACUDA
P:BUTTERFLY;PUNISHER: BUTTERFLY
P:BV;PUNISHER: BLOODY VALENTINE
P:CELL;PUNISHER: THE CELL
P:DHBE;PUNISHER: DIE HARD IN THE BIG EASY
P:EQ;PUNISHER: EMPTY QUARTER
P:FC;PUNISHER: FRANK CASTLE (MAX imprint)
P:FON;PUNISHER: FORCE OF NATURE
P:GC;PUNISHER: GET CASTLE
P:GF;PUNISHER: G FORCE
P:GI;PUNISHER: GHOSTS OF INNOCENTS
P:HE;PUNISHER: HAPPY ENDING
P:HROD;PUNISHER: HOT RODS OF DEATH
P:ITB;PUNISHER: IN THE BLOOD
P:KG;PUNISHER: KINGDOM GONE
P:LBB;PUNISHER: LITTLE BLACK BOOK
P:MOORS;PUNISHER: BLOOD ON THE MOORS
P:NAKED;PUNISHER: NAKED KILL
P:NE;PUNISHER: NO ESCAPE
P:NM;PUNISHER: NIGHTMARE
P:P;PUNISHER: PRIZE
P:POV;PUNISHER: P.O.V.
P:RX;PUNISHER: RED X-MAS
P:SN;PUNISHER: SILENT NIGHT
P:TUW;PUNISHER: TINY UGLY WORLD
P:TYGER;PUNISHER: THE TYGER
P:XMAS;PUNISHER: XMAS
P:XMAS SPEC;PUNISHER: XMAS SPECIAL
P:YO;PUNISHER: YEAR ONE
P2099;PUNISHER 2099
PARKER;PETER PARKER
PARX;PARADISE X
PARX A;PARADISE X A
PARX X;PARADISE X X
PARX:H;PARADISE X: HERALDS
PARX:R;PARADISE X: RAGNAROK
PATSYW:HCAT;PATSY WALKER: HELLCAT
PBSS;PUNISHER BACK TO SCHOOL SPECIAL
PDPCORPS;PRELUDE TO DEADPOOL CORPS
PEN:REL;PENANCE: RELENTLESS
PF;PSI-FORCE
PHOL;PUNISHER HOLIDAY SPECIAL
PHX;PHOENIX (UNTOLD STORY)
PHXR;PHOENIX RESURRECTION
PHXR:A;PHOENIX RESURRECTION: AFTERMATH
PHXR:G;PHOENIX RESURRECTION: GENESIS
PHXR:R;PHOENIX RESURRECTION: REVELATIONS
PITT;PITT
PLASMER;PLASMER
PM;LUKE CAGE, POWER-MAN
PM&IF;POWER-MAN & IRON FIST
PM&IF2;POWER-MAN & IRON FIST VOL. 2
PMAX;PUNISHERMAX
PNAM;PUNISHER INVADES THE 'NAM
PNOIR;PUNISHER NOIR
PNSUB;PRINCE NAMOR, THE SUB-MARINER
PO;POINT ONE
POPRIME;POWER OF PRIME
PP;POWER PACK
PP HSPEC;POWER PACK HOLIDAY SPECIAL
PP:PP;POWER PACK: PEER PRESSURE
PPSM;PETER PARKER, SPIDER-MAN
PPSM/EL;PETER PARKER, SPIDER-MAN/ELEKTRA
PPSSM;PETER PARKER, THE SPECTACULAR SPIDER-MAN
PRIME;PRIME
PRIME2;PRIME VOL. 2
PRIME ∞;PRIME ∞
PRIME/CA;PRIME/CAPTAIN AMERICA
PRIMEV.IH;PRIME VS. INCREDIBLE HULK
PRO;PROTOTYPE
PROWL;PROWLER
PRY&WSDM;PRYDE & WISDOM
PS:PROLOGUE;PLANET SKAAR: PROLOGUE
PSS;PUNISHER SUMMER SPECIAL
PSYLOCKE;PSYLOCKE
PULSE;PULSE
PULSE:HOM;PULSE: HOUSE OF M
PV.BULL;PUNISHER VS. BULLSEYE
PWJ;PUNISHER WAR JOURNAL
PWJ2;PUNISHER WAR JOURNAL VOL. 2
PWZ;PUNISHER WAR ZONE
PWZ2;PUNISHER WAR ZONE VOL. 2
PWZ3;PUNISHER WAR ZONE VOL. 3
Q;QUASAR
QP;QUESTPROBE
QS;QUICKSILVER
RAMH;RAMPAGING HULK
RAMH2;RAMPAGING HULK VOL. 2
RAMW;RAMPAGING WOLVERINE
RAV2099;RAVAGE 2099
RESCUE;RESCUE
RG;ROGUE
RG3;ROGUE VOL. 3
RIPFIRE;RIPFIRE
RK;RAWHIDE KID
RK2;RAWHIDE KID VOL. 2
RK3;RAWHIDE KID VOL. 3
RK4;RAWHIDE KID VOL. 4
ROA;RISE OF APOCALYPSE
ROK;REALM OF KINGS
ROK:IGUARD;REALM OF KINGS: IMPERIAL GUARD
ROK:INHS;REALM OF KINGS: INHUMANS
ROK:SOH;REALM OF KINGS:SON OF HULK
ROM;ROM, SPACEKNIGHT
RR;ROCKET RACCOON
RR2;ROCKET RACCOON VOL. 2
RRAVENC;RED RAVEN COMICS
RSH;RED SHE-HULK
RSKULLI;RED SKULL INCARNATE
RUN;RUNAWAYS
RUN2;RUNAWAYS VOL. 2
RUN3;RUNAWAYS VOL. 3
RUNE;RUNE
RUNE2;RUNE VOL. 2
RUNE ∞;RUNE ∞
RUNE/SS;RUNE/SILVER SURFER
RUNE:HOD;RUNE: HEARTS OF DARKNESS
RUNEV.V;RUNE VS. VENOM
RUNSAGA;RUNAWAYS SAGA
RW;RED WOLF
S&L;SHADOWS & LIGHT
SABRE;SABRETOOTH
SABRE2;SABRETOOTH VOL. 2
SABRE&MSTQ;SABRETOOTH & MYSTIQUE
SABRE:BN;SABRETOOTH: BACK TO NATURE
SABRE:MSO;SABRETOOTH: MARY SHELLEY OVERDRIVE
SABRE:RZ;SABRETOOTH: IN THE RED ZONE
SAGAHT;SAGA OF THE ORIGINAL HUMAN TORCH
SAGASUB;SAGA OF THE SUB-MARINER
SAVH;SAVAGE HULK
SAVH2;SAVAGE HULK VOL. 2
SAVSCO;SAVAGE SWORD OF CONAN
SAVSH;SAVAGE SHE-HULK
SAVT;SAVAGE TALES
SAVT2;SAVAGE TALES VOL. 2
SB;SPEEDBALL
SBKR:BRB;STORMBREAKER: SAGA OF BETA RAY BILL
SBL&FORTUNE;SABLE & FORTUNE
SBRAND;STAR BRAND
SCHI:MOKF;SHANG-CHI: MASTER OF KUNG FU
SCHI:MOKF2;SHANG-CHI: MASTER OF KUNG FU VOL. 2
SCRS;SCARLET SPIDER
SCRS2;SCARLET SPIDER VOL. 2
SCRSS;SCARLET SPIDERS
SCRSU;SCARLET SPIDER UNLIMITED
SCRW;SCARLET WITCH
SD;STOKER'S DRACULA
SECA;SECRET AVENGERS
SECA2;SECRET AVENGERS VOL. 2
SECA3;SECRET AVENGERS VOL. 3
SECCOM:P;X-MEN SECOND COMING: PREPARE
SECDEF;SECRET DEFENDERS
SECHOM;SECRETS OF HOUSE OF M
SECINV;SECRET INVASION
SECINV:ASM;SECRET INVASION: AMAZING SPIDER-MAN
SECINV:DC;SECRET INVASION: DIRECTORS CUT
SECINV:DR;SECRET INVASION: DARK REIGN
SECINV:FF;SECRET INVASION: FANTASTIC FOUR
SECINV:FL;SECRET INVASION: FRONT LINE
SECINV:HI;SECRET INVASION: HOME INVASION
SECINV:INHS;SECRET INVASION: INHUMANS
SECINV:REQ;SECRET INVASION: REQUIEM
SECINV:RUN/YA;SECRET INVASION: RUNAWAYS/YOUNG AVENGERS
SECINV:T;SECRET INVASION: THOR
SECINV:WHO?;SECRET INVASION: WHO DO YOU TRUST?
SECINV:WOK;SECRET INVASION: WAR OF KINGS
SECINV:X;SECRET INVASION: X-MEN
SECINVA:BRB;SECRET INVASION AFTERMATH: BETA RAY BILL
SECINVSAGA;SECRET INVASION SAGA
SECWAR;SECRET WAR
SECWAR:FNF;SECRET WAR: FROM THE FILES OF NICK FURY
SECWARR;SECRET WARRIORS
SECWARSII;SECRET WARS II
SENSH;SENSATIONAL SHE-HULK
SENSM;SENSATIONAL SPIDER-MAN
SENSM2;SENSATIONAL SPIDER-MAN VOL. 2
SENTINEL;SENTINEL
SENTINEL2;SENTINEL VOL. 2
SENTRY;SENTRY
SENTRY2;SENTRY VOL. 2
SENTRY/FF;SENTRY/FANTASTIC FOUR
SENTRY/H;SENTRY/HULK
SENTRY/SM;SENTRY/SPIDER-MAN
SENTRY/VOID;SENTRY/VOID
SENTRY/X;SENTRY/X-MEN
SENTRY:FS;SENTRY: FALLEN SUN
SEX;SPECIAL EDITION: X-MEN
SFIRE&TRBL;SPITFIRE & THE TROUBLESHOOTERS
SG;SPIDER-GIRL
SG2;SPIDER-GIRL VOL. 2
SG:END;SPIDER-GIRL: END
SGTF;SGT. FURY & HIS HOWLIN' COMMANDOS
SGTF2;SGT. FURY & HIS HOWLIN' COMMANDOS VOL. 2
SH;SHE-HULK
SH2;SHE-HULK VOL. 2
SH:C;SHE-HULK: CEREMONY
SH:CC;SHE-HULK: COSMIC COLLISION
SHDWL;SHADOWLAND
SHDWL:BOS;SHADOWLAND: BLOOD ON THE STREETS
SHDWL:GR;SHADOWLAND: GHOST RIDER
SHDWL:MK;SHADOWLAND: MOON KNIGHT
SHDWL:PM;SHADOWLAND: POWER MAN
SHDWL:SM;SHADOWLAND: SPIDER-MAN
SHDWM;SHADOWMASTERS
SHDWR;SHADOW RIDERS
SHIELD;S.H.I.E.L.D.
SHIELD2;S.H.I.E.L.D. VOL. 2
SHIELD ∞;S.H.I.E.L.D. ∞
SHOWAR;SHOGUN WARRIORS
SHROUD;SHROUD
SHS;SHE-HULKS
SHSEN;SHE-HULK SENSATIONAL
SI:A;SPIDER-ISLAND: AVENGERS
SI:CAD;SPIDER-ISLAND: CLOAK AND DAGGER
SI:DF;SPIDER-ISLAND: DEADLY FOES
SI:DHKF;SPIDER-ISLAND: DEADLY HANDS OF KUNG FU
SI:HFH;SPIDER-ISLAND: HEROES FOR HIRE
SI:I♥NYC;SPIDER-ISLAND: I LOVE NEW YORK CITY
SIEGE;SIEGE
SIEGE:CA;SIEGE: CAPTAIN AMERICA
SIEGE:CABAL;SIEGE: CABAL
SIEGE:EMB;SIEGE: EMBEDDED
SIEGE:LOKI;SIEGE: LOKI
SIEGE:SECWARR;SIEGE: SECRET WARRIORS
SIEGE:SM;SIEGE: SPIDER-MAN
SIEGE:YA;SIEGE: YOUNG AVENGERS
SIF;SIF
SILWAR;SILENT WAR
SIREN;SIREN
SIREN ∞;SIREN ∞
SIREN SPEC;SIREN SPECIAL
SIXGUNS;SIX GUNS
SJAM;STARJAMMERS
SJAM2;STARJAMMERS VOL. 2
SJNS;SUBURBAN JERSEY NINJA SHE-DEVILS
SK;SPACEKNIGHTS
SKAAR:KSL;SKAAR: KING OF THE SAVAGE LAND
SKAAR:SOH;SKAAR: SON OF HULK
SKAAR:SWS;SKAAR SON OF HULK: SAVAGE WORLD OF SAKAAR
SKK;SKRULL KILL KREW
SKK2;SKRULL KILL KREW VOL. 2
SKLSLR;SKULL THE SLAYER
SKRULLS;SKRULLS!
SKRULLSV.PP;SKRULLS VS. POWER PACK
SL;SLINGERS
SL:DUSK;SLINGERS: DUSK
SL:HRNT;SLINGERS: HORNET
SL:PROD;SLINGERS: PRODIGY
SL:RICO;SLINGERS: RICOCHET
SLAP;SLAPSTICK
SLEEP;SLEEPWALKER
SLEEP HSPEC;SLEEPWALKER HOLIDAY SPECIAL
SLORD;STAR-LORD
SLORD:SE;STAR-LORD: SPECIAL EDITION
SLUDGE;SLUDGE
SLUDGE:RX;SLUDGE: RED X-MAS
SM;SPIDER-MAN
SM HSPEC;SPIDER-MAN HOLIDAY SPECIAL
SM SSPEC;SPIDER-MAN SUPER SPECIAL
SM&ARANA:HR;SPIDER-MAN & ARANA: HUNTER REVEALED
SM&FF;SPIDER-MAN & FANTASTIC FOUR
SM&FF2;SPIDER-MAN & FANTASTIC FOUR VOL. 2
SM&HT:BDLM;SPIDER-MAN & HUMAN TORCH: BAHIA DE LOS MUERTOS
SM&JL;SPIDER-MAN & JAY LENO
SM&PP;SPIDER-MAN & POWER PACK
SM&W;SPIDER-MAN & WOLVERINE
SM/BCAT:EVIL;SPIDER-MAN/BLACK CAT: EVIL THAT MEN DO
SM/DD;SPIDER-MAN/DAREDEVIL
SM/DO:NE;SPIDER-MAN/DOCTOR OCTOPUS: NEGATIVE EXPOSURE
SM/DO:OOR;SPIDER-MAN/DOCTOR OCTOPUS: OUT OF REACH
SM/DS:WDD;SPIDER-MAN/DOCTOR STRANGE: WAY TO DUSTY DEATH
SM/HT;SPIDER-MAN/HUMAN TORCH
SM/K:TD;SPIDER-MAN/KINGPIN: TO THE DEATH
SM/MARROW;SPIDER-MAN/MARROW
SM/P/SABRE:DG;SPIDER-MAN/PUNISHER/SABRETOOTH: DESIGNER GENES
SM/P:FP;SPIDER-MAN/PUNISHER: FAMILY PLOT
SM/RS;SPIDER-MAN/RED SONJA
SM/STORM/PM;SPIDER-MAN, STORM & POWER-MAN
SM/XF:SG;SPIDER-MAN/X-FACTOR: SHADOW GAMES
SM:AP;SPIDER-MAN: ARACHNIS PROJECT
SM:BBRAO;SPIDER-MAN: BLACK & BLUE & READ ALL OVER
SM:BLUE;SPIDER-MAN: BLUE
SM:BREAK;SPIDER-MAN: BREAKOUT
SM:BT;SPIDER-MAN: BIG TIME (digital)
SM:CJ;SPIDER-MAN: CLONE JOURNAL
SM:D&D;SPIDER-MAN: DEATH & DESTINY
SM:DMH;SPIDER-MAN: DEAD MAN'S HAND
SM:FA;SPIDER-MAN: FINAL ADVENTURE
SM:FEVER;SPIDER-MAN: FEVER
SM:FI;SPIDER-MAN: FEAR ITSELF
SM:FO;SPIDER-MAN: FUNERAL FOR AN OCTOPUS
SM:HOBGL;SPIDER-MAN: HOBGOBLIN LIVES
SM:HOM;SPIDER-MAN: HOUSE OF M
SM:INDIA;SPIDER-MAN: INDIA
SM:JF;SPIDER-MAN: JACKAL FILES
SM:L;SPIDER-MAN: LIFELINE
SM:LOE;SPIDER-MAN: LEGACY OF EVIL
SM:LSC;SPIDER-MAN: LEGEND OF THE SPIDER-CLAN
SM:LY;SPIDER-MAN: LOST YEARS
SM:MA;SPIDER-MAN: MUTANT AGENDA
SM:MANGA;SPIDER-MAN: THE MANGA
SM:MAXCA;SPIDER-MAN: MAXIMUM CLONAGE ALPHA
SM:MAXCO;SPIDER-MAN: MAXIMUM CLONAGE OMEGA
SM:MM;SPIDER-MAN: MYSTERIO MANIFESTO
SM:OSBORNJ;SPIDER-MAN: OSBORN JOURNAL
SM:PT;SPIDER-MAN: POWER OF TERROR
SM:PY;SPIDER-MAN: PARKER YEARS
SM:QL;SPIDER-MAN: QUALITY OF LIFE
SM:R;SPIDER-MAN: REDEMPTION
SM:REIGN;SPIDER-MAN: REIGN
SM:REVELATIONS;SPIDER-MAN: REVELATIONS TPB
SM:RGG;SPIDER-MAN: REVENGE OF THE GREEN GOBLIN
SM:SC;SPIDER-MAN: SWEET CHARITY
SM:VA;SPIDER-MAN: VENOM AGENDA
SM:WD;SPIDER-MAN: WEB OF DOOM
SM:WGP;SPIDER-MAN: WITH GREAT POWER
SM2099;SPIDER-MAN 2099
SM2099 SPEC;SPIDER-MAN 2099 SPECIAL
SM2099SM;SPIDER-MAN 2099 MEETS SPIDER-MAN
SM2099V2;SPIDER-MAN 2099 VOL. 2
SMASH;SMASH!
SMEN;SPIDER-MEN
SMF;SPIDER-MAN FAMILY
SMF2;SPIDER-MAN FAMILY VOL. 2
SMF:AF;SPIDER-MAN FAMILY: AMAZING FRIENDS
SMFFSC;SPIDER-MAN FAMILY FEATURING SPIDER-CLAN
SMMM;SPIDER-MAN MADE MEN
SMNOIR;SPIDER-MAN NOIR
SMNOIR:EYES;SPIDER-MAN NOIR: EYES WITHOUT A FACE
SMSE:TV;SPIDER-MAN SPECIAL EDITION: TRIAL OF VENOM
SMTGLW;SPIDER-MAN'S TANGLED WEB
SMTU;SPIDER-MAN TEAM-UP
SMU;SPIDER-MAN UNLIMITED
SMU3;SPIDER-MAN UNLIMITED VOL. 3
SMV.W;SPIDER-MAN VS. WOLVERINE
SOH;SON OF HULK
SOLITAIRE;SOLITAIRE
SOLO;SOLO
SOLOA;SOLO AVENGERS
SOLUTION;SOLUTION
SOLX;SOLDIER X
SOM;SON OF M
SOS;SON OF SATAN
SOV;GHOST RIDER/BLAZE: SPIRITS OF VENGEANCE
SOVSSOLS;SOVIET SUPER SOLDIERS
SP;SUPREME POWER
SP2;SUPREME POWER VOL. 2
SP:HYP;SUPREME POWER:HYPERION
SP:NHAWK;SUPREME POWER:NIGHTHAWK
SPECM/E;SPECIAL MARVEL EDITION
SPELL;SPELLBOUND
SPELLB;SPELLBINDERS
SPIDEY;SPIDEY
SPIDEY&MM/;SPIDEY & THE MINI-MARVELS
SQS;SQUADRON SUPREME
SQS2;SQUADRON SUPREME VOL. 2
SQS3;SQUADRON SUPREME VOL. 3
SQS:HYPV.NHAWK;SQUADRON SUPREME: HYPERION VS. NIGHTHAWK
SQS:NWO;SQUADRON SUPREME: NEW WORLD ORDER
SR:SSOL;STEVE ROGERS: SUPER SOLDIER
SS;SILVER SURFER
SS2;SILVER SURFER VOL. 2
SS3;SILVER SURFER VOL. 3
SS4;SILVER SURFER VOL. 4
SS5;SILVER SURFER VOL. 5
SS6;SILVER SURFER VOL. 6
SS/RUNE;SILVER SURFER/RUNE
SS/SUPERMAN;SILVER SURFER/SUPERMAN
SS/T;SILVER SURFER/THOR
SS/WEAPON0;SILVER SURFER/WEAPON 0
SS/WITCHBLADE;SILVER SURFER/WITCHBLADE
SS/WLOCK:R;SILVER SURFER/WARLOCK: RESURRECTION
SS: HOMECOMING;SILVER SURFER: HOMECOMING
SS:DA;SILVER SURFER: DANGEROUS ARTIFACTS
SS:ITN;SILVER SURFER: IN THY NAME
SS:P;SILVER SURFER: PARABLE
SSBL&WP;SILVER SABLE & THE WILD PACK
SSCRS;SPECTACULAR SCARLET SPIDER
SSD;SHANNA THE SHE-DEVIL
SSG;SPECTACULAR SPIDER-GIRL
SSGN;SILVER SURFER GRAPHIC NOVEL
SSM;SPECTACULAR SPIDER-MAN
SSM2;SPECTACULAR SPIDER-MAN VOL. 2
SSM SSPEC;SPECTACULAR SPIDER-MAN SUPER SPECIAL
